Date,seasadj
2016-01-01,125.074194754057
2016-02-01,125.163651885923
2016-03-01,125.141552624499
2016-04-01,125.195017823254
2016-05-01,126.694431512004
2016-06-01,126.131396506553
2016-07-01,126.056454238159
2016-08-01,126.221250154932
2016-09-01,126.131005124314
2016-10-01,126.739527418962
2016-11-01,127.065857042319
2016-12-01,127.015180633138
2017-01-01,126.220043659616
2017-02-01,125.588499445422
2017-03-01,126.021519492624
2017-04-01,125.772534982048
2017-05-01,125.673634601198
2017-06-01,125.305314224854
2017-07-01,125.401491678565
2017-08-01,125.397030732423
2017-09-01,125.759783807407
2017-10-01,126.190767184178
2017-11-01,125.234402817083
2017-12-01,124.912692692986
2018-01-01,125.129843919478
2018-02-01,125.774131701098
2018-03-01,126.53692716666
2018-04-01,126.845792923174
2018-05-01,127.731214312746
2018-06-01,126.19676755482
2018-07-01,125.599462476788
2018-08-01,123.485647883278
2018-09-01,124.961759484383
2018-10-01,126.073208520111
2018-11-01,124.974951945018
2018-12-01,124.602389602219
2019-01-01,124.835706576825
2019-02-01,124.425445971044
2019-03-01,124.066047738413
2019-04-01,123.350320057136
2019-05-01,124.122489127608
2019-06-01,124.837994836728
2019-07-01,124.716741064911
2019-08-01,124.414586547537
2019-09-01,124.358654785416
2019-10-01,123.518710559411
2019-11-01,123.269173110577
2019-12-01,122.808395323365
2020-01-01,122.879318298057
2020-02-01,122.893743287442
2020-03-01,122.362494173941
2020-04-01,116.529242959846
2020-05-01,114.472740710548
2020-06-01,116.077452702464
2020-07-01,116.565926057588
2020-08-01,116.815818627889
2020-09-01,116.805141973164
2020-10-01,116.874716860948
2020-11-01,116.997280791725
2020-12-01,117.588196777371
