Date,seasadj
2017-01-01,124.96638000963
2017-02-01,125.287881720745
2017-03-01,126.16126294697
2017-04-01,126.289253444145
2017-05-01,125.994932651509
2017-06-01,125.665600745826
2017-07-01,125.367730072411
2017-08-01,125.225824360991
2017-09-01,125.607016340776
2017-10-01,126.751441588798
2017-11-01,125.295381424242
2017-12-01,124.695730560967
2018-01-01,123.992858705905
2018-02-01,125.587599725819
2018-03-01,126.573597981736
2018-04-01,127.54472165445
2018-05-01,127.842803771053
2018-06-01,126.499303034355
2018-07-01,125.654993066033
2018-08-01,123.444462467506
2018-09-01,124.915689409161
2018-10-01,126.392425911123
2018-11-01,124.910943112958
2018-12-01,124.377364986666
2019-01-01,123.857128038143
2019-02-01,124.397127883602
2019-03-01,123.935927480451
2019-04-01,124.212806580042
2019-05-01,124.067619701235
2019-06-01,124.929051148365
2019-07-01,124.854863147327
2019-08-01,124.515233788647
2019-09-01,124.552958834266
2019-10-01,123.648848085762
2019-11-01,123.097799476922
2019-12-01,122.499075552322
2020-01-01,121.888083367969
2020-02-01,123.067541657136
2020-03-01,122.146234524162
2020-04-01,117.579541657003
2020-05-01,114.346096647425
2020-06-01,115.935947968131
2020-07-01,116.643924414917
2020-08-01,116.932930203081
2020-09-01,117.207172089346
2020-10-01,116.977986842284
2020-11-01,116.780321836647
2020-12-01,117.258626885301
2021-01-01,118.527335626867
2021-02-01,118.648425899055
2021-03-01,119.272278675991
2021-04-01,120.075768307041
2021-05-01,120.807554127523
2021-06-01,121.539958907106
2021-07-01,121.442236708744
2021-08-01,121.729570490726
2021-09-01,121.41683821411
2021-10-01,122.19298961958
2021-11-01,122.561790532866
2021-12-01,123.701881506138
